Linux 3.11.0-17-generic (axle) 	07/11/14 	_x86_64_	(64 CPU)

01:59:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:00:16        all      8.65      0.01      1.13      0.49      0.00     89.71
02:01:16        all      7.86      0.01      0.59      0.29      0.00     91.25
02:02:16        all      4.25      0.00      0.41      0.16      0.00     95.18
02:03:16        all      3.07      0.00      0.29      0.18      0.00     96.45
02:04:16        all      3.13      0.00      0.28      0.06      0.00     96.53
02:05:16        all      2.84      0.00      0.42      0.35      0.00     96.38
02:06:16        all      3.13      0.00      0.21      0.04      0.00     96.62
02:07:16        all      8.98      0.00      2.11      0.07      0.00     88.85
02:08:16        all      7.01      0.00      0.57      0.27      0.00     92.16
02:09:16        all      4.74      0.00      0.19      0.01      0.00     95.06
02:10:16        all      4.73      0.00      0.20      0.01      0.00     95.06
02:11:16        all      3.96      0.00      0.30      0.06      0.00     95.67
