Linux 3.11.0-17-generic (axle) 	07/11/14 	_x86_64_	(64 CPU)

02:12:02        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:13:02        all      2.95      0.00      0.44      0.00      0.00     96.60
02:14:02        all      3.16      0.00      0.22      0.01      0.00     96.61
02:15:02        all      2.91      0.00      0.54      0.02      0.00     96.53
02:16:02        all      3.14      0.00      0.25      0.00      0.00     96.61
02:17:02        all      3.01      0.00      0.39      0.01      0.00     96.59
02:18:02        all      3.02      0.00      0.37      0.00      0.00     96.61
02:19:02        all      3.19      0.00      0.18      0.00      0.00     96.63
02:20:02        all      3.14      0.00      0.26      0.00      0.00     96.60
02:21:02        all      2.98      0.00      0.39      0.00      0.00     96.63
02:22:02        all      3.07      0.00      0.34      0.00      0.00     96.59
02:23:02        all      2.97      0.00      0.43      0.00      0.00     96.60
02:24:02        all      3.00      0.00      0.38      0.00      0.00     96.62
02:25:02        all      2.88      0.00      0.54      0.00      0.00     96.58
